"","year","average_Diff_Log_CORPINCTX_c","std_err_c","average_Diff_Log_CORPINCTX_t","std_err_t"
"1",1976,NA,NA,NA,NA
"2",1977,0.14746040083099,0.0421578115459332,0.196561584174551,0.0269294226153667
"3",1978,0.124703756050338,0.0435784615885038,0.153666279224711,0.0402650099227363
"4",1979,0.318844178771096,0.144674230103346,0.131646258715048,0.0355717585555897
"5",1980,0.153154385618468,0.0602618689251371,0.0942861884040325,0.0330449634461865
"6",1981,0.095250314734216,0.0455910347308602,-0.0210524568829254,0.0243158854554301
"7",1982,-0.00495750812009973,0.0516871624764,-0.0119426689902014,0.0333694433411997
"8",1983,-0.147117136485262,0.096392338611592,-0.0458442004176987,0.0352600225964575
"9",1984,0.126883410162343,0.0804461314630238,0.22018807028224,0.0305236006208387
"10",1985,0.16583082791803,0.0725284100633711,0.185404979990327,0.0436802016063199
"11",1986,-0.02699891186612,0.0349219002157035,0.00668096270327637,0.0293224267482289
"12",1987,0.069028620647198,0.0831400293138682,0.0871489356079558,0.0385892125039201
"13",1988,0.0960309921694692,0.0878707242671354,0.0588211309721527,0.0264212274230774
"14",1989,0.203400945139075,0.0717563353624097,0.0946748068977709,0.0242568921527304
"15",1990,-0.136154871671273,0.0834054889818328,-0.124059590967082,0.0362856991189433
"16",1991,-0.021168156514284,0.0549727986603207,-0.035677042926984,0.03301781380112
"17",1992,-0.0261495113394671,0.0686966210321691,0.0438098530296673,0.0476875063911141
"18",1993,0.202173946143062,0.11451787853175,0.127077019595662,0.0275619680452128
"19",1994,-0.00203418510226059,0.137857177949549,0.143296033015717,0.0198921881418681
"20",1995,0.175254028822017,0.0913929067931393,0.105918334436877,0.0344536775790471
"21",1996,0.00982797777761928,0.0506377147681634,0.0140795107589872,0.0203831755320577
"22",1997,0.0748886198729632,0.0282912855186472,0.0662088329062479,0.0229769824708525
"23",1998,-0.0126897043957216,0.0280134953205587,0.00823207574103257,0.0282390772837956
"24",1999,-0.0569817897371659,0.0391455661926569,0.0369410249875203,0.0256680626763722
"25",2000,0.112299799857101,0.0662106489209697,0.0199087106996108,0.0268104266558168
"26",2001,-0.0094889861426943,0.042932715388586,-0.0954731554472703,0.0410036981223895
"27",2002,-0.222831918053996,0.0877164336937842,-0.298556676710245,0.0665285125269268
"28",2003,-0.128025300074823,0.0781251600769551,0.171488538811961,0.0655830528894818
"29",2004,0.259885023365423,0.0532951620597919,0.0916893888299308,0.0386286047673329
"30",2005,0.378676932023683,0.0729001660025336,0.292468355781073,0.0268338433926257
"31",2006,0.325115454220282,0.0371844541817182,0.240947751407451,0.0366514722092621
"32",2007,0.0733333171305667,0.0649564188672539,0.0684500809953793,0.0283060889697624
"33",2008,-0.0104420100000018,0.0540919550895358,-0.0968123048643182,0.0438615974389867
"34",2009,-0.268109919060631,0.0757070510476298,-0.241625284738837,0.0336180195213211
"35",2010,-0.184275721030652,0.0644971720791418,-0.015608010564733,0.0611363902031219
"36",2011,0.136538331212533,0.0862336034012173,0.158350695419277,0.0535412603468568
"37",2012,0.0612801315354261,0.0557957771711146,0.0729781394894841,0.036638577877456
"38",2013,0.107814081323697,0.0434803155809934,0.0856519946666252,0.033763049967366
"39",2014,-0.106936950742295,0.0478478266702715,0.0381450623918536,0.0177709585532457
"40",2015,0.00233014125176508,0.0769571840216594,0.0595300960943508,0.0304681736049724
"41",2016,-0.234818651216466,0.125087812205339,-0.108511897840072,0.04019026263182
"42",2017,0.0165928765472815,0.102565983376296,-0.112757799670192,0.0403052459372078
"43",2018,0.172037443773593,0.0711487413302804,0.0780550351929009,0.0495918347536001
"44",2019,0.271427084882152,0.0522946593550354,0.254695005082621,0.0485565854247994
