"year","state","sales.Gir","sales.MyAp"
1991,"Arizona",50,33.34
1993,"Idaho",50,33.34
1994,"Idaho",50,33.34
1998,"Illinois",66.66,50
1999,"Illinois",83.34,66.67
2000,"Illinois",100,83.33
1996,"Indiana",50,33.34
1997,"Indiana",50,33.34
1998,"Indiana",50,33.34
1999,"Indiana",50,33.34
1997,"Louisiana",50,33.34
1998,"Louisiana",50,33.34
1999,"Louisiana",50,33.34
2000,"Louisiana",50,33.34
2001,"Louisiana",50,33.34
2002,"Louisiana",50,33.34
2003,"Louisiana",50,33.34
2004,"Louisiana",50,33.34
2005,"Louisiana",50,33.34
2006,"Louisiana",100,33.34
2007,"Louisiana",100,33.34
2008,"Louisiana",100,33.34
2009,"Louisiana",100,33.34
2010,"Louisiana",100,33.34
2011,"Louisiana",100,33.34
2012,"Louisiana",100,33.34
1991,"Michigan",50,40
1992,"Michigan",50,40
2000,"Minnesota",75,70
2004,"Mississippi",33.34,100
2005,"Mississippi",33.34,100
2006,"Mississippi",33.34,100
2007,"Mississippi",33.34,100
2008,"Mississippi",33.34,100
2009,"Mississippi",33.34,100
2010,"Mississippi",33.34,100
2011,"Mississippi",33.34,100
2012,"Mississippi",33.34,100
1999,"Missouri",33.34,100
2000,"Missouri",33.34,100
2001,"Missouri",33.34,100
2002,"Missouri",33.34,100
2003,"Missouri",33.34,100
2004,"Missouri",33.34,100
2005,"Missouri",33.34,100
2006,"Missouri",33.34,100
2007,"Missouri",33.34,100
2008,"Missouri",33.34,100
2009,"Missouri",33.34,100
2010,"Missouri",33.34,100
2011,"Missouri",33.34,100
2012,"Missouri",33.34,100
1988,"Nebraska",46.66,46.67
1990,"Nebraska",73.34,73.33
1991,"Nebraska",86.66,86.67
1997,"New Jersey",33.34,50
1998,"New Jersey",33.34,50
1999,"New Jersey",33.34,50
2006,"New York",60,50
2007,"New York",100,80
1999,"Ohio",60,50
1994,"Pennsylvania",33.34,60
1995,"Pennsylvania",50,60
1996,"Pennsylvania",50,60
1997,"Pennsylvania",50,60
1998,"Pennsylvania",50,60
1999,"Pennsylvania",50,60
2009,"Pennsylvania",83,85
1994,"South Carolina",50,33.34
2007,"South Carolina",100,50
2008,"South Carolina",100,50
2009,"South Carolina",100,50
2010,"South Carolina",100,50
2006,"Utah",50,33.34
2011,"Utah",66.66,100
2012,"Utah",83.34,100
2006,"Wisconsin",60,50
2008,"Wisconsin",90,100
