"State_Acronym","year","real_ci_cap","syn_Illinois","real_ci_cap_relative","syn_Illinois_relative"
"IL",1976,1209.04465721483,830.625857886966,100,100
"IL",1977,1392.76815695568,884.413297809942,115.19575796018,106.475531602135
"IL",1978,1263.602059417,969.423914363668,104.512438963822,116.710057260894
"IL",1979,1478.03925350434,1020.5629082546,122.248524459731,122.866739406695
"IL",1980,2117.14745541409,972.25795079926,175.10911964916,117.051250158837
"IL",1981,2006.84653418596,905.529388305766,165.986138081033,109.017721963213
"IL",1982,1619.69882961694,887.122986911524,133.965178205088,106.801754181874
"IL",1983,1107.19419912157,767.173433985065,91.5759556534591,92.3608898880997
"IL",1984,990.890125737749,782.059981580267,81.9564537856175,94.1530984322777
"IL",1985,1438.93280576123,892.387976011363,119.014032870877,107.435612260075
"IL",1986,1722.10962894816,942.497649932216,142.435568336676,113.468373393749
"IL",1987,1666.1703895695,1069.44549638337,137.808837715532,128.751770274037
"IL",1988,1806.55636593168,980.146184893596,149.420152113594,118.000923711549
"IL",1989,1580.04100228179,1043.46896894688,130.685082048301,125.624426333339
"IL",1990,1307.75620509861,888.869781847529,108.164425300152,107.012052828301
"IL",1991,1247.40019019996,740.475760989587,103.172383481144,89.146726406193
"IL",1992,1238.61621903325,696.778458604223,102.445861833304,83.8859580385279
"IL",1993,1349.17714730339,841.451616824357,111.590348565898,101.303325538761
"IL",1994,1463.8405677827,931.681961869063,121.074152145449,112.166260299092
"IL",1995,1703.98950115775,1044.21233727662,140.93685382003,125.713921299416
"IL",1996,1801.00842469988,1076.66822933241,148.961282277919,129.621323380343
"IL",1997,1949.42295948307,1111.0761793447,161.236638187856,133.763735958229
"IL",1998,2077.18388776787,1133.87672366902,171.803735732384,136.508719648278
"IL",1999,2169.26193252167,1039.79647717778,179.419504447322,125.182290835843
"IL",2000,2200.21928746091,1092.50305059948,181.97998513383,131.527695679822
"IL",2001,2088.17348468198,1161.51292514843,172.712684533285,139.835873651129
"IL",2002,1279.41409485915,910.073547013149,105.820251321934,109.564798443464
"IL",2003,1166.14107028639,918.663364962929,96.4514472916763,110.598936481453
"IL",2004,736.446025602315,944.131962691818,60.9113998567101,113.665130181909
"IL",2005,1214.31124441694,1111.07235285234,100.435599063333,133.763275282424
"IL",2006,1289.92294406193,1392.39773268307,106.689437512872,167.632360522125
"IL",2007,1528.04739870427,1467.69672365995,126.384694691451,176.697692435632
"IL",2008,928.390573928485,1379.03113234872,76.7871201769451,166.023140172501
"IL",2009,853.238436303195,1119.66381544431,70.5712920702802,134.797611320774
"IL",2010,1314.44540877822,1011.95984652934,108.717688873974,121.831006935382
"IL",2011,1020.26192019732,1134.87036950669,84.3857928744842,136.628345810674
"IL",2012,1243.62019983423,1166.04811816079,102.859740739358,140.381870741071
"IL",2013,1563.6648381503,1201.43052874763,129.330610645299,144.641599745516
"IL",2014,1532.11407630442,1158.2714101295,126.721049314573,139.445623939042
"IL",2015,1716.34343699099,1244.99620078232,141.958646998596,149.886520984246
"IL",2016,1150.07063312426,1123.85516995601,95.1222625451717,135.302213299137
"IL",2017,1185.24331152415,1105.99420281671,98.0313923436449,133.151910973522
"IL",2018,1093.535135028,1358.02543575413,90.4462154067227,163.494240259846
"IL",2019,1242.44862613379,1570.61457245599,102.762839959602,189.088090328838
"IL",2020,1110.31556427003,1380.21373598158,91.8341235490646,166.165515180651
"IL",2021,1753.87521484054,1848.47007742653,145.062897749434,222.539433353166
"IL",2022,2752.74007702336,2359.99670608192,227.678941435017,284.122711046526
