"","State","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1","Alabama",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6.5,6.5,5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
"2","Alaska",9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4
"3","Arizona",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9.3,9.3,9.3,9.3,9,9,9,9,NA,NA,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6,5.5,4.9,4.9,4.9,4.9,4.9,4.9,4.9
"4","Arkansas",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.2,5.9,5.3
"5","California",9,9,9,NA,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84
"6","Colorado",5,5,5,5,5,5,5,5,5,5,5,6,6,5.5,5.4,5.3,5.2,5.1,5,5,5,5,5,4.75,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.55,4.55,4.55,4.4
"7","Connecticut",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9.5,8.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,9,9,9,9,9,9,8.25,7.5,7.5,7.5,7.5,7.5
"8","Delaware",7.2,NA,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7
"9","Florida",5,5,5,5,5,5,5,5,5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,4.458,3.353,5.5,5.5
"10","Georgia",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.75,5.75,5.75,5.75,5.75
"11","Hawaii",6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4
"12","Idaho",6.5,6.5,6.5,6.5,6.5,6.5,6.5,7.7,7.7,7.7,7.7,7.7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.4,7.4,7.4,7.4,7.4,7.4,6.925,6.925,6.925,6,5.8
"13","Illinois",4,4,4,4,4,4,4,4.8,4.8,4,4,4,4,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,7.3,7.3,7.3,7.3,7.3,7.3,7.3,9.5,9.5,9.5,9.5,7.75,7.75,7.75,9.5,9.5,9.5,9.5,9.5,9.5
"14","Indiana",3,3,3,3,3,3,3,3,3,3,3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8,7.5,7,6.5,6.25,6,5.75,5.5,5.25,4.9,4.9
"15","Iowa",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA,NA,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9.8,9.8,8.4
"16","Kansas",4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,NA,4,4,4,4,4,4,4,4,4,7.35,7.35,7.35,7.35,7.35,7.35,7.05,7.05,7,7,7,7,7,7,7,7,7,7,7,7,7
"17","Kentucky",5.8,5.8,5.8,5.8,5.8,6,6,6,6,7.25,7.25,7.25,7.25,7.25,7.25,8,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5
"18","Louisiana",4,NA,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7.5,7.5
"19","Maine",7,7,7,NA,6.93,6.93,6.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93
"20","Maryland",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25
"21","Massachusetts",8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,9.5,9.5,9.5,9.5,9.5,9.5,9.5,8.8,8.25,8,8,8,8,8,8,8,8,8,8,8,8
"22","Michigan",2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.3,2.3,2.3,2.3,2.3,2.2,2.1,2,1.9,1.9,1.9,1.9,1.9,1.9,4.95,4.95,4.95,4.95,6,6,6,6,6,6,6,6,6,6,6,6
"23","Minnesota",12,12,12,12,12,12,12,12,12,12,12,9.5,9.5,9.5,9.5,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
"24","Mississippi",4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"25","Missouri",5,5,5,5,5,5,5,5,5,5,5,5,5,5,6.5,6.5,6.5,NA,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,4,4,4,4
"26","Montana",6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75
"27","Nebraska",4.13,NA,4.4,NA,4.68,4.13,4.13,7,7,6.65,6.65,6.65,6.65,6.65,6.65,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.5,7.25
"28","Nevada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","New Hampshire",7,NA,8,8,8,8,8,8,8,8.25,8.25,8,8,8,8,8,8,7.5,7,7,7,7,7,8,8,8,8.5,8.5,9.25,9.25,9.25,9.25,9.25,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.2,7.7,7.7,7.7,7.6,7.5
"30","New Jersey",7.5,7.5,7.5,7.5,7.5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11.5,10.5,11.5,11.5,11.5
"31","New Mexico",5,5,5,5,5,6,6,7.2,7.2,7.2,7.2,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.3,6.9,6.6,6.2,5.9,5.9,5.9,5.9,5.9,5.9
"32","New York",10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,8.5,8,7.5,7.5,7.5,7.5,7.5,7.5,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,6.5,6.5,6.5,6.5,6.5,6.5,7.25,7.25
"33","North Carolina",6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7.75,7.75,7.75,7.75,7.75,7.75,7.5,7.25,7,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6,5,4,3,3,2.5,2.5,2.5,2.5,2.5
"34","North Dakota",6,6,6,NA,8.5,8.5,7,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,7,7,7,6.5,6.5,6.4,6.4,5.2,5.15,4.53,4.53,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31
"35","Ohio",8,8,8,8,8,8.22,8.7,9.2,9.2,9.2,9.2,9.2,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,NA,NA,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Oklahoma",4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4
"37","Oregon",6.5,7,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,7.9,7.9,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6
"38","Pennsylvania",9.5,NA,10.5,10.5,10.5,10.5,10.5,10.5,10.5,9.5,9.5,8.5,8.5,8.5,8.5,12.25,12.25,12.25,12.25,10.5,9.5,9.5,9.5,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,8.99
"39","Rhode Island",8,8,8,8,8,8,8,9,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7
"40","South Carolina",6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"41","South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Tennessee",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
"43","Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Utah",6,6,6,NA,4,4,4,4.65,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.95,4.95,4.95,4.85,4.85
"45","Vermont",7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,9,9,9,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,8.9,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
"46","Virginia",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"47","Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","West Virginia",6,6,6,6,6,6,6,7,7,7,7,9.75,9.75,9.6,9.45,9.3,9.3,NA,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8.75,8.5,8.5,8.5,7.75,7,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
"49","Wisconsin",7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9
"50","Wyoming",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
