"State","Post_Estimate","Post_Std_Error","Post_Statistic","Post_P_Value"
"Alabama",-0.0269167132316521,0.112810589161378,-0.238600945458649,0.811439685798621
"Alaska",NA,NA,NA,NA
"Arizona",0.162206998620571,0.122076563836864,1.54922211035492,0.121487906171601
"Arkansas",0.0813351493244177,0.157268373266519,0.688325696436231,0.491328215987042
"California",0.21150176959069,0.123647393323865,1.92821277030775,0.0539712880545726
"Colorado",0.220815737659745,0.122714173183693,2.01877618912496,0.0436448439357442
"Connecticut",0.0703923198322089,0.128713458818396,0.756012882857538,0.449731268427619
"Delaware",0.122353677981151,0.130766522393381,1.14150310401127,0.253798445454857
"Florida",NA,NA,NA,NA
"Georgia",0.0239869899945996,0.121840013815828,0.417791344830257,0.676144912364063
"Hawaii",NA,NA,NA,NA
"Idaho",0.313361511573632,0.191972557869236,1.77253576543512,0.076459164497916
"Illinois",-0.0493847139435913,0.121251836557465,-0.185300291936534,0.853012459144972
"Indiana",0.026377580106541,0.122076563836864,0.436564494143303,0.662474745027902
"Iowa",-0.22802282019204,0.159133227277258,-1.26375936943704,0.206464949770313
"Kansas",NA,NA,NA,NA
"Kentucky",-0.138713864039588,0.133614975671875,-0.836711231250621,0.402855721634726
"Louisiana",-0.224399426845383,0.128713458818397,-1.53428177151514,0.125119869930996
"Maine",-0.0410864467502401,0.122076563836864,-0.116072512800439,0.907606826063838
"Maryland",0.0805435222579334,0.133614975671875,0.804252928604959,0.421347320602047
"Massachusetts",NA,NA,NA,NA
"Michigan",-0.194885035339425,0.122596228201369,-1.37009371798844,0.170812743341517
"Minnesota",0.0788266436600452,0.122076563836864,0.866205220463173,0.386482420168087
"Mississippi",NA,NA,NA,NA
"Missouri",-0.193379756011026,0.144565398801377,-1.15147223443199,0.249676823923591
"Montana",NA,NA,NA,NA
"Nebraska",0.0240494338782906,0.123990380039463,0.411049204734443,0.681080870163715
"New Hampshire",0.026764451654913,0.191972557869236,0.279629367251181,0.779791036471371
"New Jersey",0.0366279263949016,0.124268753102091,0.511348493006519,0.609163984474728
"New Mexico",NA,NA,NA,NA
"New York",-0.0158077938139334,0.127170955993219,0.087354218036318,0.930398778711201
"North Carolina",0.0780470776662253,0.128713458818396,0.81548419148593,0.414893144884316
"North Dakota",0.369143590056775,0.128713458818396,3.07706984898319,0.00211905026582084
"Ohio",NA,NA,NA,NA
"Oklahoma",NA,NA,NA,NA
"Oregon",0.141478274879083,0.121498612159852,1.38598281179692,0.165907984060886
"Pennsylvania",-0.119233009685881,0.122076563836864,-0.75621637399293,0.449609301805331
"Rhode Island",-0.0939253277654057,0.127170955993219,-0.526917596949784,0.598309749961267
"South Carolina",-0.11713273123297,0.122076563836864,-0.739011773970619,0.459987310306256
"Tennessee",NA,NA,NA,NA
"Utah",0.267539156322953,0.123647393323865,2.38141590889302,0.0173400957135882
"Vermont",NA,NA,NA,NA
"Virginia",NA,NA,NA,NA
"West Virginia",-0.286084043131399,0.191972557869236,-1.35002279896839,0.177162741242554
"Wisconsin",-0.191974997890687,0.121840013815828,-1.35471327923957,0.175663245076377
